price,floor_area,latitude,longitude,bedroom,bathroom,type_house,code,inferred_price,difference,dif_per
550000.0,74,53.345585,-6.238383,2,2,apartment,D02,516013.75,-33986.25,-0.02632669924203139
575000.0,185,52.047205,-9.505843,4,3,house,V93,424865.3,-150134.6875,-0.11629852553926572
350000.0,83,51.890533,-8.453776,3,1,house,T12,305382.72,-44617.28125,-0.03456179320948549
450000.0,70,53.341301,-6.299988,2,2,house,,344331.28,-105668.71875,-0.0818539432218045
390000.0,232,53.04808,-7.450931,5,3,house,,369985.62,-20014.375,-0.01550369432173988
275000.0,106,51.872336,-8.343062,3,3,house,T12,317237.06,42237.0625,0.06660299336151096
295000.0,80,51.900012,-8.488609,3,1,house,T23,238322.44,-56677.5625,-0.04390402417768764
1450000.0,310,51.888312,-8.517048,5,3,house,T12,1334191.8,-115808.25,-0.08970830755072953
430000.0,97,53.195893,-6.123381,3,1,house,A98,424760.5,-5239.5,-0.0040586631557945774
1650000.0,468,52.96286,-6.160905,5,6,house,A67,1597909.0,-52091.0,-0.0403511446604629
465000.0,118,53.244996,-6.18367,2,2,apartment,D18,548720.94,83720.9375,0.13201829659749595
1450000.0,250,53.293473,-6.135329,5,5,house,A96,1486639.1,36639.125,0.057775689281104006
285000.0,62,53.357912,-6.261216,2,1,apartment,D01,285588.84,588.84375,0.0009285389193961398
680000.0,286,54.096538,-7.526358,4,3,house,H14,467089.44,-212910.5625,-0.16492647304098648
449500.0,125,52.933237,-9.399481,3,2,house,,304262.3,-145237.6875,-0.11250517245711551
895000.0,158,53.314667,-6.252408,4,3,house,D06,1023088.7,128088.6875,0.20198113927186936
279000.0,105,51.748725,-8.717015,3,2,house,P72,215092.23,-63907.765625,-0.049504741618731314
430000.0,84,53.267135,-6.170342,3,1,house,D18,530823.6,100823.625,0.15898726921547798
445000.0,145,52.245819,-6.968009,3,3,house,X91,354530.03,-90469.96875,-0.07008056663260079
290000.0,96,53.280423,-8.982584,3,3,house,H91,277824.78,-12175.21875,-0.009431264768463463
395000.0,163,53.280894,-7.503747,4,2,house,R35,392432.6,-2567.40625,-0.0019887846460218957
750000.0,278,52.872261,-6.198214,6,5,house,A67,713342.0,-36658.0,-0.028396311473445488
395000.0,197,53.033992,-7.307695,5,2,house,R32,351221.34,-43778.65625,-0.03391217084303293
560000.0,232,53.527487,-6.16774,4,2,house,K45,693122.6,133122.625,0.2099190801713995
395000.0,143,53.790334,-9.527846,4,2,house,F28,302438.0,-92562.0,-0.07170111251582359
1395000.0,254,53.32403,-6.250857,5,3,house,D06,1462369.2,67369.25,0.10623356466894382
495000.0,405,53.466688,-9.127366,5,5,house,,501364.12,6364.125,0.010035493711875107
185000.0,80,51.749378,-8.734324,2,1,house,P72,166290.6,-18709.40625,-0.014492829051181945
325000.0,121,53.37609,-6.390955,3,2,apartment,D15,473738.88,148738.875,0.23454411168446215
245000.0,113,53.46628,-9.10811,3,2,house,,257581.22,12581.21875,0.01983913604043764
825000.0,197,51.888891,-8.435343,5,1,house,T12,645202.94,-179797.0625,-0.13927583034427807
160000.0,71,53.162544,-7.195811,2,1,house,R32,169099.16,9099.15625,0.01434832366275711
255000.0,80,51.892274,-8.472385,2,1,house,T12,232809.05,-22190.953125,-0.01718973257761276
497000.0,120,53.355391,-6.443388,4,2,house,K78,385162.47,-111837.53125,-0.08663247781647099
750000.0,127,53.36971,-6.263471,3,2,house,D09,684005.75,-65994.25,-0.051120990737531506
395000.0,159,54.29633,-8.495738,5,2,house,F91,365650.56,-29349.4375,-0.022734894670206264
525000.0,71,53.355646,-6.271371,2,1,house,D07,358457.25,-166542.75,-0.1290086693939703
269000.0,132,52.83198,-8.986559,4,2,house,V95,276858.6,7858.59375,0.012392099175032863
165000.0,77,53.158807,-7.182554,2,1,house,R32,172901.88,7901.875,0.012460348732075991
350000.0,185,52.504566,-6.390521,5,3,,,368780.4,18780.40625,0.02961454227067114
1295000.0,419,51.873455,-8.418422,5,4,house,T12,1114862.8,-180137.25,-0.13953934909078286
300000.0,186,51.620349,-9.524376,3,3,house,P75,414114.78,114114.78125,0.179945895102057
349500.0,90,51.907865,-8.445601,3,1,house,T23,247339.11,-102160.890625,-0.07913668150450372
350000.0,62,53.340312,-6.243594,2,1,apartment,D02,346733.1,-3266.90625,-0.0025306368986181943
1600000.0,259,53.319164,-6.269578,4,3,house,D06,1648881.8,48881.75,0.07708090189153277
400000.0,160,51.906582,-8.967738,4,1,house,P12,364097.06,-35902.9375,-0.027811418955252503
325000.0,169,52.7840374,-6.1705958,5,3,house,Y14,332815.7,7815.6875,0.012324440949891914
695000.0,123,53.357593,-6.292194,3,2,house,D07,597888.75,-97111.25,-0.07522508872758014
1350000.0,279,53.281438,-6.116915,6,3,house,A96,1464809.5,114809.5,0.1810413867285016
175000.0,95,53.923715,-7.250316,3,1,house,,142338.83,-32661.171875,-0.02530025668749625
390000.0,165,52.369757,-9.762336,6,2,house,,216407.34,-173592.65625,-0.1344697238359363
590000.0,108,53.37796,-6.357736,3,3,house,D15,578278.9,-11721.125,-0.009079511056773112
295000.0,134,53.642251,-6.692556,4,3,house,C15,333479.5,38479.5,0.06067774914636312
305000.0,176,51.746885,-8.751964,4,2,,P72,330526.3,25526.3125,0.040252061136622705
395000.0,104,53.364191,-6.243353,3,3,apartment,D03,437395.94,42395.9375,0.06685352097740067
185000.0,127,54.429781,-8.455723,4,4,house,,215953.48,30953.484375,0.04881008745207501
375000.0,100,53.402986,-6.434268,3,3,house,D15,315602.28,-59397.71875,-0.046011133243415166
1100000.0,176,53.275873,-6.123622,4,4,house,A96,1063299.2,-36700.75,-0.02842942681840402
160000.0,113,52.570517,-8.206106,2,1,house,,189163.92,29163.921875,0.04598815305956112
235000.0,100,53.717107,-6.346735,3,3,house,A92,226729.34,-8270.65625,-0.006406681514670703
350000.0,241,54.02659,-8.27063,5,2,house,,180412.97,-169587.03125,-0.13136685474471965
