price,floor_area,latitude,longitude,bedroom,bathroom,type_house,place,predicted_price,residual,res_percentage
540000.0,82,53.342728,-6.239747,3,2,apartment,Dublin 2,497060.94249339146,-42939.057506608544,-0.07951677316038619
575000.0,207,52.084981,-7.645957,4,3,house,Dungarvan,432824.5605621528,-142175.43943784718,-0.2472616338049516
575000.0,242,52.055091,-9.505483,6,5,house,Kenmare,489271.68062937306,-85728.31937062694,-0.14909272934022075
565000.0,201,52.654304,-7.800728,5,3,house,Thurles,401223.83583381504,-163776.16416618496,-0.28986931710829195
139000.0,60,54.206761,-8.506714,2,1,house,Sligo,123369.6276099957,-15630.372390004297,-0.11244872223024674
210000.0,105,52.834522,-8.976808,3,2,house,Miltown Malbay,217798.9001393508,7798.900139350793,0.03713761971119425
239950.0,144,53.855783,-7.923197,4,3,house,,215443.6233493369,-24506.376650663093,-0.10213118004027127
195000.0,85,53.517885,-8.861501,3,3,house,Tuam,166444.0783268543,-28555.921673145698,-0.14644062396484975
315000.0,117,53.603403,-6.387176,4,2,house,Garristown,327169.96023181133,12169.960231811332,0.03863479438670264
160000.0,81,53.8497,-6.697165,2,1,house,,162117.09285751532,2117.092857515323,0.013231830359470769
875000.0,165,53.137694,-6.083099,4,2,house,Greystones,821210.5553538783,-53789.4446461217,-0.061473651024139084
405000.0,101,53.298780066426616,-6.573676143088477,3,3,house,Maynooth,373967.51430124615,-31032.48569875385,-0.07662342147840458
385000.0,104,53.298780066426616,-6.573676143088477,3,3,house,Maynooth,375627.3321301285,-9372.667869871482,-0.024344591869796057
1225000.0,179,53.269067,-9.065158,4,3,house,Galway,471056.94971258566,-753943.0502874143,-0.6154637145203382
120000.0,80,53.912597,-7.6028774,2,1,,,138777.34076731984,18777.340767319838,0.15647783972766532
550000.0,99,53.450315,-6.180351,3,2,house,Malahide,457042.4334664702,-92957.56653352978,-0.1690137573336905
280000.0,242,53.546504,-9.109413,4,2,house,,358533.30811845814,78533.30811845814,0.28047610042306476
650000.0,300,53.904718,-6.393884,5,3,house,Dundalk,579812.5251714883,-70187.47482851171,-0.10798073050540263
495000.0,132,53.383405,-6.246469,4,2,house,Dublin 9,569682.6308188746,74682.63081887458,0.15087400165429207
425000.0,207,52.510939,-6.573256,5,3,house,Enniscorthy,426426.0050127267,1426.0050127267023,0.003355305912298123
450000.0,88,53.317085,-6.244024,2,2,apartment,Dublin 6,529548.1377328178,79548.13773281779,0.17677363940626176
410000.0,167,53.1520846,-6.7891953,4,3,house,Newbridge,405298.83122320916,-4701.168776790844,-0.011466265309245962
260000.0,104,52.716836,-8.854136,3,3,house,Shannon,231172.91813084483,-28827.08186915517,-0.11087339180444296
205000.0,166,54.167513,-8.608365,4,3,house,Ballymote,256965.31579710654,51965.31579710654,0.2534893453517392
350000.0,177,52.048488,-7.734589,4,2,house,Youghal,366502.16807441646,16502.168074416462,0.04714905164118989
1150000.0,261,51.896854,-8.500053,4,4,house,Cork city southside,837254.5508989131,-312745.44910108694,-0.2719525644357278
355000.0,222,52.807498,-7.338165,4,3,house,Kilkenny,447646.34971483785,92646.34971483785,0.26097563299954324
500000.0,209,52.617666,-8.476698,7,4,,Limerick,452095.9514308802,-47904.04856911983,-0.09580809713823965
350000.0,184,52.628327,-8.2813,4,3,house,,338805.89019036875,-11194.109809631249,-0.03198317088466071
410000.0,105,53.4666752,-6.2336216,3,3,house,Swords,389222.57723636774,-20777.42276363226,-0.05067664088690795
359000.0,116,54.270027,-8.49506,4,3,house,Sligo,228137.62026917003,-130862.37973082997,-0.36451916359562664
445000.0,167,52.098723,-7.603396,5,3,house,Dungarvan,379340.6575978503,-65659.34240214969,-0.1475490840497746
300000.0,117,53.03804794639119,-7.325866782299499,3,3,house,Portlaoise,249216.63484760298,-50783.36515239702,-0.1692778838413234
260000.0,108,53.03804794639119,-7.325866782299499,3,3,house,Portlaoise,238292.21621889208,-21707.783781107923,-0.08349147608118432
420000.0,112,53.340545434028485,-6.555605636795121,3,2,house,Maynooth,366693.9399890188,-53306.06001098122,-0.12691919050233624
685000.0,274,52.230281388673234,-7.065116154398595,5,4,house,Waterford,561297.8343867229,-123702.16561327712,-0.18058710308507608
645000.0,246,52.230281388673234,-7.065116154398595,4,4,house,Waterford,505144.96836021135,-139855.03163978865,-0.21682950641827697
315000.0,127,52.64515933990487,-8.583712013179934,4,3,house,Limerick,283168.17927598633,-31831.82072401367,-0.10105339912385292
270000.0,100,52.93527872588968,-6.243042414603991,3,3,house,Wicklow,302394.32531954197,32394.325319541967,0.11997898266497024
245000.0,87,52.93527872588968,-6.243042414603991,2,2,house,Wicklow,265006.45123479853,20006.45123479853,0.08165898463183073
250000.0,134,54.10004665320943,-7.457050578212062,3,2,house,Belturbet,214521.76431259848,-35478.235687401524,-0.14191294274960609
795000.0,223,52.74675,-9.50401,3,3,house,,402549.4504228183,-392450.5495771817,-0.4936484900341908
295000.0,90,53.389375,-6.417749,3,2,house,Dublin 15,320869.66725386016,25869.667253860156,0.08769378730122086
165000.0,69,52.160104,-7.139316,2,2,apartment,Waterford,167339.92751504935,2339.9275150493486,0.014181378879086961
